2018年03月22日,,,,,,,
,,,,,,,
,,JR27.5/1270.8,,,,,
,,,,,,,
札幌-石狩当別,,,,,1-,,
537M,普通,,,,クハ733-3202,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,札幌,ˇ,⑩,,札沼線（学園都市線）,,
6:58:00,06:58発,6:58:40,10,±0,,,
,,,札沼线,,,,
7:01:00,桑園,7:01:35,③,±0,,,
7:02:00,07:02発,7:02:20,3,±0,,,
7:05:00,八軒,7:05:25,②,±0,进站複線开始,,
7:05:00,07:05発,7:05:50,,±0,,,
7:07:00,新川,7:07:56,②,±0,,,
7:08:00,07:08発,7:08:22,,±0,,,
7:10:00,新琴似,7:10:41,②,±0,,,
7:11:00,07:11発,7:11:11,,±0,,,
7:13:00,太平,7:13:12,②,±0,,,
7:13:00,07:13発,7:13:41,,±0,,,
7:15:00,百合が原,7:15:37,②,±0,,,
7:16:00,07:16発,7:16:10,,±0,,,
7:18:00,篠路,7:18:00,②,±0,,,
7:18:00,07:18発,7:18:36,,±0,,,
7:21:00,拓北,7:21:10,②,±0,,,
7:21:00,07:21発,7:21:45,,±0,,,
7:23:00,あいの里教育大,7:23:57,②,±0,出站为单線,,
7:24:00,07:24発,7:24:34,,±0,,,
7:26:00,あいの里公園,7:27:07,②,+1,,,
7:27:00,07:27発,7:27:34,,±0,,,
7:31:00,石狩太美,7:31:59,②,±0,,,
7:32:00,07:32発,7:32:40,,±0,,,
7:38:00,石狩当別,7:38:45,②,±0,,,
——,,——,,,,,
??1(1#)??1(2#)??2(3-4#)??1(5#)??1(6#),,,,,,,
同行者：贾赟、单灵奇、王轶伦、韩抒、程昊琮,,,,,,,
,,,,,,,
,,JR50.6/1321.4,,,,,
,,,,,,,
石狩当別-新十津川,,,,,,,
5425D,普通,,,,キハ40 401,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,石狩当別,ˇ,③,,札沼線（学園都市線）,,
7:45:00,07:45発,7:45:16,,±0,,,
7:49:00,北海道医療大学,7:49:53,①,±0,電氣化终了,,
7:50:00,07:50発,7:50:50,,±0,,,
