関西空港?(6400),,
,15:14発,
りんくうタウン??,レ,
,レ,
日根野?(6388),レ,
,レ,
熊取??,レ,
,レ,
東佐野??,レ,
,レ,
和泉橋本??,レ,
,レ,
東貝塚??,レ,
,レ,
東岸和田??,レ,
,レ,
下松??,レ,
,レ,
久米田??,レ,
,レ,
和泉府中?(6389),レ,
,レ,
信太山??,レ,
,レ,
北信太??,レ,
,レ,
富木??,レ,
,レ,
鳳?(6390),レ,
,レ,
津久野??,レ,
,レ,
上野芝??,レ,
,レ,
百舌鳥??,レ,
,レ,
三国ヶ丘??,レ,
,レ,
堺市??,レ,
,レ,
浅香??,レ,
,レ,
杉本町??,レ,
,レ,
我孫子町??,レ,
,レ,
長居??,レ,
,レ,
鶴ヶ丘??,レ,
,レ,
南田辺??,レ,
,レ,
美章園??,レ,
,レ,
天王寺?(6395),15:48着,18
,15:50発,
新今宮??,レ,
,レ,
芦原橋??,レ,
,レ,
大正??,レ,
,レ,
弁天町??,レ,
,レ,
西九条?(6728),レ,
,レ,
新大阪?(6100),16:05着,11
,16:07発,
,,
,,
新大阪?(6100),17:31着,
,17:31発,
西中島南方??,17:32着,
,17:32発,
中津??,17:35着,
,17:35発,
梅田??,17:37着,
,17:38発,
淀屋橋??,17:40着,
,17:41発,
本町??,17:42着,
,17:43発,
心斎橋??,17:44着,
,17:45発,
なんば??,17:46着,
,17:47発,
,,
,,
なんば??,21:36着,
,21:36発,
心斎橋??,21:37着,
,21:38発,
本町??,21:40着,
,21:40発,
淀屋橋??,21:42着,
,21:42発,
梅田??,21:44着,
,21:45発,
中津??,21:47着,
,21:47発,
西中島南方??,21:49着,
,21:50発,
新大阪?(6100),21:51着,
,21:51発,
,,
,,
新大阪?(6100),10:19着,13
,10:20発,
東淀川??,レ,
,レ,
吹田??,レ,
,レ,
岸辺??,レ,
,レ,
千里丘??,レ,
,レ,
茨木??,レ,
,レ,
摂津富田??,レ,
,レ,
高槻??,10:30着,
,10:31発,
島本??,レ,
,レ,
山崎??,レ,
,レ,
長岡京??,レ,
,レ,
向日町??,レ,
,レ,
桂川??,レ,
,レ,
西大路??,レ,
,レ,
京都?(6050),10:44着,
,10:45発,
,,
,,
京都?(6050),13:43着,5
,13:45発,
西大路??,レ,
,レ,
桂川??,レ,
,レ,
向日町??,レ,
,レ,
長岡京??,レ,
,レ,
山崎??,レ,
,レ,
島本??,レ,
,レ,
高槻??,13:57着,
,13:58発,
摂津富田??,レ,
,レ,
茨木??,レ,
,レ,
千里丘??,レ,
,レ,
岸辺??,レ,
,レ,
吹田??,レ,
,レ,
東淀川??,レ,
,レ,
新大阪?(6100),14:08着,
,14:09発,
,,
,,
羽田空港国内線ターミナル??,,
,17:32発,
羽田空港国際線ターミナル??,17:34着,
,17:35発,
天空橋??,17:36着,
,17:36発,
穴守稲荷??,17:38着,
,17:38発,
大鳥居??,17:39着,
,17:39発,
糀谷??,17:41着,
,17:41発,
京急蒲田??,17:43着,
,17:44発,
梅屋敷??,レ,
,レ,
大森町??,レ,
,レ,
平和島??,17:46着,
,17:47発,
大森海岸??,レ,
,レ,
立会川??,17:49着,
,17:50発,
鮫洲??,レ,
,レ,
青物横丁??,17:51着,
,17:52発,
新馬場??,レ,
,レ,
北品川??,レ,
,レ,
品川?(4010),17:56着,
,17:56発,
,,
,,
品川?(4010),18:05着,
,18:06発,
新橋?(4002),18:10着,
,18:11発,
東京?(4000),18:13着,
,18:14発,
,,
,,
京?(4000),18:20着,
,18:20発,
神田??,18:23着,
,18:23発,
秋葉原?(4590),18:25着,
,18:25発,
,,
,,
秋葉原?(4590),19:06着,
,19:06発,
御徒町??,19:08着,
,19:08発,
上野?(4300),19:10着,
,19:10発,
鶯谷??,19:12着,
,19:12発,
日暮里?(4302),19:14着,
,19:14発,
西日暮里??,19:15着,
,19:15発,
田端??,19:17着,
,19:17発,
駒込??,19:19着,
,19:19発,
巣鴨??,19:21着,
,19:21発,
大塚??,19:23着,
,19:23発,
池袋?(4085),19:27着,
,19:27発,
,,
,,
池袋?(4085),,
,21:30発,
新大塚??,21:33着,
,21:33発,
茗荷谷??,21:35着,
,21:35発,
後楽園??,21:38着,
,21:38発,
本郷三丁目??,21:39着,
,21:40発,
御茶ノ水??,21:41着,
,21:42発,
淡路町??,21:43着,
,21:44発,
大手町??,21:45着,
,21:45発,
東京?(4000),21:47着,
,21:47発,
,,
,,
東京?(4000),,9
,22:00発,
新橋?(4002),レ,
,レ,
品川?(4010),レ,
,レ,
川崎?(4020),レ,
,レ,
横浜?(4050),22:23着,6
,22:24発,
戸塚?(4053),レ,
,レ,
大船?(4055),レ,
,レ,
藤沢?(4056),レ,
,レ,
辻堂??,レ,
,レ,
茅ヶ崎?(4057),レ,
,レ,
平塚?(4058),レ,
,レ,
大磯??,レ,
,レ,
二宮??,レ,
,レ,
国府津?(4059),レ,
,レ,
鴨宮??,レ,
,レ,
小田原?(4060),レ,
,レ,
早川??,レ,
,レ,
根府川??,レ,
,レ,
真鶴?(4063),レ,
,レ,
湯河原?(4065),レ,
,レ,
熱海?(4070),23:21着,
,23:23発,
函南?(5004),レ,
,レ,
三島?(5005),レ,
,レ,
沼津?(5010),23:39着,
,23:40発,
片浜??,レ,
,レ,
原??,レ,
,レ,
東田子の浦??,レ,
,レ,
吉原?(5015),レ,
,レ,
富士?(5020),23:53着,
,23:54発,
富士川??,レ,
,レ,
新蒲原??,レ,
,レ,
蒲原??,レ,
,レ,
由比??,レ,
,レ,
興津??,レ,
,レ,
清水?(5045),レ,
,レ,
草薙??,レ,
,レ,
東静岡??,レ,
,レ,
静岡?(5050),00:19着,
,00:20発,
安倍川??,レ,
,レ,
用宗??,レ,
,レ,
焼津?(5051),レ,
,レ,
西焼津??,レ,
,レ,
藤枝?(5053),レ,
,レ,
六合??,レ,
,レ,
島田?(5054),レ,
,レ,
金谷??,レ,
,レ,
菊川??,レ,
,レ,
掛川?(5056),レ,
,レ,
愛野??,レ,
,レ,
袋井??,レ,
,レ,
磐田??,レ,
,レ,
豊田町??,レ,
,レ,
天竜川??,レ,
,レ,
浜松?(5060),01:11着,
,01:12発,
高塚??,レ,
,レ,
舞阪??,レ,
,レ,
弁天島?(5064),レ,
,レ,
新居町?(5065),レ,
,レ,
鷲津??,レ,
,レ,
新所原??,レ,
,レ,
二川??,レ,
,レ,
豊橋?(5070),レ,
,レ,
西小坂井?(5072),レ,
,レ,
愛知御津?(5073),レ,
,レ,
三河大塚?(5074),レ,
,レ,
三河三谷?(5075),レ,
,レ,
蒲郡?(5077),レ,
,レ,
三河塩津??,レ,
,レ,
三ヶ根?(5078),レ,
,レ,
幸田?(5079),レ,
,レ,
相見?(3314),レ,
,レ,
岡崎?(5080),レ,
,レ,
西岡崎?(5081),レ,
,レ,
安城?(5082),レ,
