空港第２ビル?(4766),10:16着,
,10:18発,
成田?(4765),レ,
,レ,
酒々井??,レ,
,レ,
佐倉?(4605),レ,
,レ,
物井??,レ,
,レ,
四街道?(4603),レ,
,レ,
都賀??,レ,
,レ,
東千葉??,レ,
,レ,
千葉?(4600),レ,
,レ,
稲毛?(4601),レ,
,レ,
津田沼?(4599),レ,
,レ,
船橋?(4598),レ,
,レ,
市川?(4597),レ,
,レ,
新小岩?(4596),レ,
,レ,
錦糸町?(4595),レ,
,レ,
馬喰町??,レ,
,レ,
新日本橋??,レ,
,レ,
東京?(4000),11:14着,1
,11:18発,
新橋?(4002),レ,
,レ,
品川?(4010),11:24着,
,11:25発,
目黒川信号場??,レ,
,レ,
大崎??,レ,
,レ,
恵比寿??,レ,
,レ,
渋谷?(4088),11:33着,
,11:34発,
新宿?(4115),11:39着,6
,11:42発,
,,
,,
新宿?(4115),11:51着,8
,11:51発,
四ツ谷?(4114),11:55着,
,11:55発,
,,
,,
四ツ谷?(4114),12:11着,
,12:11発,
新宿?(4115),12:17着,12
,12:17発,
中野?(4113),12:21着,
,12:21発,
高円寺??,12:23着,
,12:23発,
阿佐ヶ谷??,12:24着,
,12:24発,
荻窪??,12:27着,
,12:27発,
西荻窪??,12:29着,
,12:29発,
吉祥寺?(4116),12:31着,
,12:31発,
,,
,,
吉祥寺?(4116),13:40着,
,13:40発,
三鷹?(4117),13:42着,
,,
,,
,,
三鷹?(4117),13:45着,
,13:45発,
武蔵境??,13:47着,
,13:47発,
東小金井??,13:49着,
,13:49発,
武蔵小金井??,13:51着,
,13:51発,
国分寺?(4118),13:58着,
,13:58発,
西国分寺??,14:00着,
,14:00発,
国立??,14:02着,
,14:02発,
立川?(4120),14:05着,
,14:05発,
,,
,,
立川?(4120),14:09着,
,14:09発,
日野??,14:12着,
,14:12発,
豊田??,14:15着,
,14:15発,
八王子?(4125),14:19着,
,14:19発,
,,
,,
八王子?(4125),14:32着,
,14:33発,
豊田??,レ,
,レ,
日野??,レ,
,レ,
立川?(4120),14:41着,
,14:41発,
,,
,,
立川?(4120),14:53着,
,14:53発,
日野??,レ,
,レ,
豊田??,レ,
,レ,
八王子?(4125),15:02着,
,15:02発,
西八王子??,レ,
,レ,
高尾?(4126),レ,
,レ,
相模湖?(4127),レ,
,レ,
藤野??,レ,
,レ,
上野原?(4128),レ,
,レ,
四方津?(4129),レ,
,レ,
梁川??,レ,
,レ,
鳥沢??,レ,
,レ,
猿橋??,レ,
,レ,
大月?(4130),15:32着,
,15:33発,
,,
,,
大月?(4130),,
,15:55発,
上大月?(9851),レ,
,レ,
田野倉?(9852),レ,
,レ,
禾生?(9853),レ,
,レ,
赤坂??,レ,
,レ,
都留市?(9855),レ,
,レ,
谷村町?(9856),レ,
,レ,
都留文科大学前?(9857),16:13着,
,16:13発,
十日市場??,レ,
,レ,
東桂?(9859),レ,
,レ,
三つ峠?(9860),レ,
,レ,
寿??,レ,
,レ,
葭池温泉前??,レ,
,レ,
下吉田?(9863),レ,
,レ,
月江寺?(9864),レ,
,レ,
富士山?(9865),16:34着,
,16:36発,
富士急ハイランド?(9866),16:39着,
,16:39発,
河口湖?(9867),16:42着,
,,
,,
,,
河口湖?(9867),,
,05:49発,
富士急ハイランド?(9866),05:51着,
,05:52発,
富士山?(9865),05:55着,
,05:58発,
月江寺?(9864),06:01着,
,06:02発,
下吉田?(9863),06:03着,
,06:04発,
,,
,,
下吉田?(9863),07:21着,
,07:24発,
月江寺?(9864),07:25着,
,07:26発,
富士山?(9865),07:29着,
,07:32発,
富士急ハイランド?(9866),07:35着,
,07:35発,
河口湖?(9867),07:38着,
,,
,,
,,
河口湖?(9867),,
,10:17発,
富士急ハイランド?(9866),10:20着,
,10:20発,
富士山?(9865),10:23着,
,10:26発,
月江寺?(9864),レ,
,レ,
下吉田?(9863),10:31着,
,10:37発,
葭池温泉前??,レ,
,レ,
寿??,レ,
,レ,
三つ峠?(9860),10:45着,
,10:46発,
東桂?(9859),レ,
,レ,
十日市場??,レ,
,レ,
都留文科大学前?(9857),レ,
,レ,
谷村町?(9856),レ,
,レ,
都留市?(9855),レ,
,レ,
赤坂??,レ,
,レ,
禾生?(9853),レ,
,レ,
田野倉?(9852),レ,
,レ,
上大月?(9851),レ,
,レ,
大月?(4130),11:18着,
,,
,,
,,
大月?(4130),11:31着,
,11:32発,
初狩??,レ,
,レ,
