成田空港 (4767),,
,18:15発,
空港第２ビル (4766),18:17着,
,18:19発,
堀之内信号場  ,レ,
,レ,
成田 (4765),レ,
,レ,
酒々井  ,レ,
,レ,
佐倉 (4605),レ,
,レ,
物井  ,レ,
,レ,
四街道 (4603),レ,
,レ,
都賀  ,レ,
,レ,
東千葉  ,レ,
,レ,
千葉 (4600),レ,
,レ,
稲毛 (4601),レ,
,レ,
津田沼 (4599),レ,
,レ,
船橋 (4598),レ,
,レ,
市川 (4597),レ,
,レ,
新小岩 (4596),レ,
,レ,
錦糸町 (4595),レ,
,レ,
馬喰町  ,レ,
,レ,
新日本橋  ,レ,
,レ,
東京 (4000),19:17着,1
,19:22発,
,,
,,
東京 (4000),,1
,19:27発,
神田  ,19:29着,
,19:29発,
御茶ノ水  ,19:31着,
,19:31発,
四ツ谷 (4114),19:36着,
,19:36発,
新宿 (4115),19:42着,12
,19:42発,
中野 (4113),19:46着,
,19:46発,
高円寺  ,19:48着,
,19:48発,
阿佐ヶ谷  ,19:50着,
,19:50発,
荻窪  ,19:52着,
,19:52発,
西荻窪  ,19:54着,
,19:54発,
吉祥寺 (4116),19:56着,
,19:56発,
,,
,,
吉祥寺 (4116),21:17着,
,21:17発,
西荻窪  ,21:19着,
,21:19発,
荻窪  ,21:21着,
,21:21発,
阿佐ヶ谷  ,21:23着,
,21:23発,
高円寺  ,21:25着,
,21:25発,
中野 (4113),21:27着,
,21:27発,
新宿 (4115),21:33着,8
,21:33発,
,,
,,
新宿 (4115),23:51着,16
,23:51発,
大久保  ,23:53着,
,23:53発,
東中野  ,23:55着,
,23:55発,
中野 (4113),23:57着,
,23:57発,
高円寺  ,23:59着,
,23:59発,
阿佐ヶ谷  ,00:01着,
,00:01発,
荻窪  ,00:03着,
,00:03発,
西荻窪  ,00:06着,
,00:06発,
吉祥寺 (4116),00:08着,
,00:08発,
,,
,,
吉祥寺 (4116),,
,13:44発,
井の頭公園  ,レ,
,レ,
三鷹台  ,レ,
,レ,
久我山  ,13:46着,
,13:47発,
富士見ヶ丘  ,レ,
,レ,
高井戸  ,レ,
,レ,
浜田山  ,レ,
,レ,
西永福  ,レ,
,レ,
永福町  ,13:51着,
,13:51発,
