
羽田空港国際線ビル,18:28,18:29,,18:29:08
天空橋,18:31,18:31,18:30:45,18:31:05
整備場,18:32,18:32,18:32:09,18:32:26
昭和島,18:34,18:35,18:34:25,18:35:01
流通センター,18:36,18:37,18:36:30,18:37:03
大井競馬場前,18:39,18:39,18:38:52,18:39:07
天王洲アイル,18:42,18:42,18:41:59,18:42:38
浜松町,18:47,--,18:47:29,--

浜松町,18:55,18:55,,18:54:35
田町,18:57,18:57,18:56:22,18:56:57
品川,19:00,19:00,19:03:27,

品川,19:11,19:12,19:11:14,19:13:38
川崎,19:22,19:22,19:21:51,19:23:09

川崎,09:59,10:00,,10:01:46
品川,10:09,10:10,10:09:43,10:10:34
新橋,10:14,10:15,10:14:48,10:15:34
東京,10:18,10:19,10:18:18,10:19:36

東京,10:21,10:21,,10:21:36
神田,10:23,10:23,10:23:14,10:23:48
秋葉原,10:25,10:25,10:24:59,10:25:34

秋葉原,12:31,12:31,12:31:30,12:32:15
御茶ノ水,12:34,12:34,12:33:29,

御茶ノ水,12:37,12:37,12:36:37,12:37:08
四ツ谷,12:41,12:41,12:41:13,12:41:47
新宿,12:46,12:46,12:46:31,12:47:20

新宿,--,12:57,--,12:57:47
池袋,13:03,13:03,13:02:24,

池袋,16:06,16:06,16:05:44,16:06:42
大塚,16:09,16:09,16:08:45,16:09:16
巣鴨,16:11,16:11,16:10:42,16:11:11
駒込,16:12,16:12,16:12:23,16:12:50
田端,16:15,16:15,16:14:39,16:15:28
西日暮里,16:17,16:17,16:16:32,16:17:02
日暮里,16:18,16:18,16:17:58,16:18:37
鶯谷,16:20,16:20,16:19:47,16:19:14
上野,16:22,16:22,16:22:45,

上野,16:27,16:27,16:27:16,16:28:10
上野広小路,16:29,16:29,16:29:19,16:29:49
末広町,16:30,16:31,16:30:17,

秋葉原,17:51,17:51,17:51:21,17:51:52
神田,17:53,17:53,17:52:59,17:53:27
東京,17:55,17:55,17:54:58,17:56:23

東京,17:58,17:59,,17:59:34
新橋,18:02,18:02,18:02:13,18:02:52
品川,18:07,18:09,18:07:30,18:09:08
川崎,18:18,18:18,18:17:37,18:18:48

川崎,07:07,07:08,07:07:23,07:08:16
品川,07:18,07:19,07:17:52,07:20:05
新橋,07:24,07:24,07:24:51,07:25:29
東京,07:28,07:29,07:28:18,07:29:36

札幌,06:38,06:43,06:37:43,06:43:16
苗穂,,レ,,06:45:38
白石,06:48,06:48,06:48:26,06:49:03
平和,,レ,,06:50:39
新札幌,06:52,06:53,06:52:45,06:53:26
上野幌,,レ,,06:56:37
北広島,07:01,07:01,07:00:48,07:01:33
島松,,レ,,07:05:27
恵み野,,レ,,07:06:36
恵庭,07:08,07:09,07:08:35,07:09:09
サッポロビール庭園,,レ,,07:10:47
長都,,レ,,07:11:57
千歳,07:14,07:15,07:14:38,07:15:08
南千歳,07:18,07:19,07:18:13,07:19:05
新千歳空港,07:22,--,07:22:06,--

羽田空港国内線ターミナル,--,10:33,--,10:33:11
羽田空港国際線ターミナル,10:35,10:37,10:36:32,10:37:22
天空橋,10:38,10:38,10:38:45,10:39:17
穴守稲荷,10:40,10:40,10:40:20,10:40:41
大鳥居,10:41,10:41,10:41:37,10:42:06
糀谷,10:43,10:43,10:43:30,10:43:59
京急蒲田,10:45,10:46,10:45:51,

京急蒲田,10:44,10:45,10:47:22,10:48:18
梅屋敷,,レ,,10:49:05
大森町,,レ,,10:49:25
平和島,,レ,,10:49:48
大森海岸,,レ,,10:50:21
立会川,,レ,,10:50:59
鮫洲,,レ,,10:51:35
青物横丁,,レ,,10:52:03
新馬場,,レ,,10:52:39
北品川,,レ,,10:53:20
品川,10:51,10:52,10:54:43,

品川,11:04,11:04,11:02:58,11:04:00
大崎,11:06,11:07,11:06:13,11:07:19
五反田,11:08,11:08,11:08:30,11:09:21
目黒,11:11,11:11,11:10:43,11:11:43
恵比寿,11:13,11:13,11:13:31,11:14:13

恵比寿,11:16,11:16,,11:18:23
中目黒,11:18,--,11:20:25,--

中目黒,12:02,12:03,,12:03:32
祐天寺,,レ,,12:04:46
学芸大学,12:05,12:06,12:05:56,12:06:28
都立大学,,レ,,12:07:46
自由が丘,12:08,12:09,12:09:15,12:09:53
田園調布,12:10,12:11,12:11:20,12:11:46
多摩川,12:12,12:12,12:12:54,12:13:26
新丸子,,レ,,12:14:42
武蔵小杉,12:15,12:15,12:15:46,

武蔵小杉,12:21,12:21,12:21:17,12:21:57
向河原,12:23,12:23,12:23:20,12:23:39
平間,12:25,12:25,12:25:15,12:25:36
鹿島田,12:27,12:27,12:26:58,12:27:18
矢向,12:29,12:29,12:29:02,12:29:31
尻手,12:31,12:31,12:30:45,12:31:14
川崎,12:33,--,12:33:30,--

川崎,13:32,13:32,,13:32:52
品川,13:41,13:41,13:40:53,13:41:35

品川,13:49,13:50,13:48:07,13:50:23
新橋,,レ,,13:54:30
東京,13:57,14:03,13:57:07,14:04:23
新日本橋,,レ,,14:05:56
馬喰町,,レ,,14:06:47
錦糸町,,レ,,14:09:25
新小岩,,レ,,14:12:25
市川,,レ,,14:15:15
船橋,,レ,,14:17:21
津田沼,,レ,,14:19:15
稲毛,,レ,,14:21:04
千葉,,レ,,14:25:30
東千葉,,レ,,14:28:10
都賀,,レ,,14:29:30
四街道,,レ,,14:31:28
物井,,レ,,14:35:34
佐倉,,レ,,14:37:36
酒々井,,レ,,14:42:57
成田,,レ,,14:47:00
堀之内信号場,,レ,,14:54:05
空港第２ビル,14:53,14:55,14:55:52,14:57:49
成田空港,14:57,--,14:59:36,--
